ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at
"82.135.136.132","elite","N/A","LT","N/A","180","N/A","4145","socks4","N/A","N/A","2021-11-27T00:36:17.188Z"
"125.254.68.30","elite","N/A","AU","N/A","158","N/A","4145","socks4","N/A","N/A","2021-11-27T00:36:16.350Z"
"119.57.115.56","elite","N/A","CN","N/A","171","N/A","30622","socks4","N/A","363","2021-11-27T00:36:13.857Z"
"121.65.173.82","elite","N/A","KR","N/A","136","N/A","4145","socks4","N/A","5001","2021-11-27T00:36:11.141Z"
"80.89.137.214","elite","N/A","RU","N/A","233","N/A","4145","socks4","N/A","N/A","2021-11-27T00:36:05.560Z"
"85.105.83.125","elite","N/A","TR","N/A","200","N/A","4153","socks4","N/A","N/A","2021-11-27T00:36:03.478Z"
"124.158.160.180","elite","N/A","ID","N/A","195","N/A","5678","socks4","N/A","405","2021-11-27T00:36:00.937Z"
"119.42.70.248","elite","N/A","TH","N/A","199","N/A","8080","socks4","N/A","401","2021-11-27T00:35:58.200Z"
"103.233.154.18","elite","N/A","ID","N/A","210","N/A","4145","socks4","N/A","5001","2021-11-27T00:35:55.460Z"
"103.199.155.26","elite","N/A","BD","N/A","228","N/A","1080","socks4","N/A","480","2021-11-27T00:35:48.123Z"
"103.212.93.254","elite","N/A","IN","N/A","259","N/A","45639","socks4","N/A","N/A","2021-11-27T00:35:45.283Z"
"41.70.106.1","elite","N/A","MW","N/A","350","N/A","5678","socks4","N/A","714","2021-11-27T00:35:42.589Z"
"43.252.106.58","elite","N/A","ID","N/A","213","N/A","4153","socks4","N/A","N/A","2021-11-27T00:35:39.631Z"
"45.226.48.61","elite","N/A","BR","N/A","192","N/A","34739","socks4","N/A","N/A","2021-11-27T00:35:37.616Z"
"45.249.79.190","elite","N/A","IN","N/A","223","N/A","3629","socks4","N/A","N/A","2021-11-27T00:35:35.060Z"
"45.221.231.4","elite","N/A","BJ","N/A","N/A","N/A","5678","socks4","N/A","5001","2021-11-27T00:35:32.490Z"
"45.71.219.3","elite","N/A","BR","N/A","210","N/A","5678","socks4","N/A","N/A","2021-11-27T00:35:15.355Z"
"46.141.30.158","elite","N/A","IT","N/A","163","N/A","5678","socks4","N/A","403","2021-11-27T00:35:12.759Z"
"202.51.68.149","elite","N/A","NP","N/A","246","N/A","5678","socks4","N/A","N/A","2021-11-27T00:35:11.679Z"
"202.159.35.189","elite","N/A","ID","N/A","189","N/A","443","socks4","N/A","N/A","2021-11-27T00:35:09.043Z"
"202.169.49.222","elite","N/A","ID","N/A","205","N/A","5678","socks4","N/A","5003","2021-11-27T00:35:06.458Z"
"202.43.112.34","elite","N/A","ID","N/A","206","N/A","4145","socks4","N/A","N/A","2021-11-27T00:34:59.125Z"
"202.179.184.46","elite","N/A","ID","N/A","N/A","N/A","5430","socks4","N/A","5001","2021-11-27T00:34:56.580Z"
"202.62.37.187","elite","N/A","KH","N/A","N/A","N/A","4153","socks4","N/A","3725","2021-11-27T00:34:39.410Z"
"202.21.113.86","elite","N/A","MN","N/A","193","N/A","4153","socks4","N/A","N/A","2021-11-27T00:34:23.553Z"
"203.205.34.91","elite","N/A","VN","N/A","203","N/A","5678","socks4","N/A","N/A","2021-11-27T00:34:21.013Z"
"186.211.99.118","elite","N/A","BR","N/A","196","N/A","5678","socks4","N/A","N/A","2021-11-27T00:34:18.487Z"
"185.58.17.209","elite","N/A","IE","N/A","147","N/A","5678","socks4","N/A","N/A","2021-11-27T00:34:15.962Z"
"186.200.68.34","elite","N/A","BR","N/A","219","N/A","4145","socks4","N/A","N/A","2021-11-27T00:34:13.502Z"
"186.64.81.1","elite","N/A","AR","N/A","404","N/A","5678","socks4","N/A","N/A","2021-11-27T00:34:10.912Z"
"185.5.229.221","elite","N/A","HU","N/A","220","N/A","5678","socks4","N/A","425","2021-11-27T00:34:08.841Z"
"186.97.198.18","elite","N/A","CO","N/A","106","N/A","5678","socks4","N/A","N/A","2021-11-27T00:34:06.017Z"
"186.64.81.6","elite","N/A","AR","N/A","320","N/A","5678","socks4","N/A","N/A","2021-11-27T00:34:03.636Z"
"187.95.136.46","elite","N/A","BR","N/A","305","N/A","5678","socks4","N/A","N/A","2021-11-27T00:34:01.902Z"
"80.82.147.3","elite","N/A","CZ","N/A","163","N/A","4153","socks4","N/A","N/A","2021-11-27T00:33:59.538Z"
"80.210.56.169","elite","N/A","IR","N/A","257","N/A","4153","socks4","N/A","N/A","2021-11-27T00:33:57.091Z"
"177.8.170.122","elite","N/A","BR","N/A","177","N/A","1080","socks4","N/A","356","2021-11-27T00:33:54.917Z"
"179.127.193.18","elite","N/A","BR","N/A","178","N/A","4145","socks4","N/A","356","2021-11-27T00:33:52.261Z"
"178.72.90.70","elite","N/A","RU","N/A","222","N/A","5678","socks4","N/A","444","2021-11-27T00:33:49.030Z"
"181.129.84.210","elite","N/A","CO","N/A","110","N/A","5678","socks4","N/A","N/A","2021-11-27T00:33:49.600Z"
"181.129.74.58","elite","N/A","CO","N/A","108","N/A","30431","socks4","N/A","N/A","2021-11-27T00:33:46.202Z"
"88.255.102.20","elite","N/A","TR","N/A","219","N/A","1080","socks4","N/A","N/A","2021-11-27T00:33:43.832Z"
"166.248.86.233","elite","N/A","US","N/A","N/A","N/A","5678","socks4","N/A","5001","2021-11-27T00:33:41.202Z"
"168.228.51.197","elite","N/A","CR","N/A","113","N/A","41037","socks4","N/A","N/A","2021-11-27T00:33:24.053Z"
"83.168.84.141","elite","N/A","PL","N/A","190","N/A","4153","socks4","N/A","N/A","2021-11-27T00:33:21.695Z"
"171.244.76.87","elite","N/A","VN","N/A","205","N/A","5678","socks4","N/A","415","2021-11-27T00:33:19.774Z"
"168.232.41.148","elite","N/A","BR","N/A","199","N/A","5678","socks4","N/A","5001","2021-11-27T00:33:18.568Z"
"81.23.3.237","elite","N/A","RU","N/A","191","N/A","3629","socks4","N/A","N/A","2021-11-27T00:33:11.742Z"
"81.218.45.207","elite","N/A","IL","N/A","204","N/A","4145","socks4","N/A","N/A","2021-11-27T00:33:09.182Z"
"120.194.55.139","elite","N/A","CN","N/A","213","N/A","5678","socks4","N/A","5001","2021-11-27T00:33:08.183Z"